rumor_id,rumor_subject,rumor_title,rumor_text,tag_boi,tag_hou,tag_bre,tag_bry,tag_din,tag_kon,tag_hav,tag_tar,tag_ter,tag_dou
A001,rumor_ten,Origines de Bryn Shander,"Il y a quatre cents ans, des immigrants venus de toute la région de Faerûn sont venus ici à la recherche d'évasion ou d'aventure et ont construit un modeste poste commercial au sommet de la colline où Bryn Shander se trouve maintenant.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A002,rumor_ten,Vie à Valbise,"La plupart des habitants sont ici parce qu'ils y sont nés, ont grandi ici et s'attendent à y mourir. Ce sont des pêcheurs, des bûcherons, des mineurs, des chasseurs, des trappeurs, des fourreurs et des commerçants habitués au climat rude, à la lenteur de la vie et à l'isolement.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
A003,rumor_ten,Bremen et ses Fondateurs,"Fondé par des prospecteurs, la ville endormie de Bremen repose sur la berge ouest de Maer Dualdon, à l'embouchure de la rivière Shaengarne. Les villes de Targos, Termalaine et Bois Solitaire sont toutes visibles depuis les quais par temps clair.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A004,rumor_ten,Mur de Bryn Shander,"Les murs de la ville atteignent environ 9 mètres de hauteur et sont définis par deux cercles concentriques de poteaux en bois dressés, l'espace entre eux étant rempli de terre et de gravats. Le cercle extérieur de poteaux dépasse le sommet du mur, offrant un rempart pour les défenseurs stationnés sur la promenade en planches de bois. Les portes articulées du mur mesurent 4,5 mètres de hauteur et peuvent être verrouillées de l'intérieur avec des poutres en bois cerclées de fer. Ces portes sont fermées la nuit. Des lanternes brillantes suspendues au-dessus des rues étroites tournoient dans le vent et ajoutent des touches de couleur à l'environnement autrement terne de la ville.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A005,rumor_ten,Forteresse de Caer-Dineval,"Qu'ils arrivent à pied ou par le lac, les visiteurs sont immédiatement confrontés par la forteresse pour laquelle le village est célèbre : le Caer, et la tour de garde écroulée à l'emouchure du port. La majorité des bâtiments du village qui remontent aux colons fondateurs du village, des Cormyrienss, bordent le sentier qui suit la pente raide qui mène du Caer au port. Un port perché sur des berges rocheuses.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
A006,rumor_ten,Ancienne Route vers Caer-Dineval,"Par le passé, les voyageurs vers Caer-Dineval devait suivre les berges rocailleuses du Lac Dinneshere jusqu'à aperçevoir une petite forteresse (le ""Caer"", dont le nom fut utilisé pour nommer la ville) dressée sur un surplomb dominant le lac. Un ferry depuis Havre-Est a rendu le parcours ardu inutile pour les marchands et autres voyageurs.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
A007,rumor_ten,Caer-Konig et ses Origines,"Les pentes enneigées et blanches de la Cairn de Kelvin se dressent derrière cette paisible ville au bord du lac. Caer-Konig a commencé comme un camp pour un groupe de montagnards de la région nord de la mer de la Lune. À mesure que le campement grandissait, une palissade en bois a été ajoutée pour décourager les pillards. Plus tard est venue la pierre du château de Caer-Konig. Caer-Konig tel qu'on le connaît aujourd'hui se compose de rangées de maisons en terrasse qui reculent depuis la rive du lac Dinneshere comme les gradins d'un amphithéâtre. Le port est gelé, ses quais sont déformés et brisés par la glace qui se déplace.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
A008,rumor_ten,Trou de Dougan Isolé,"Trou de Dougan est la plus petite et la plus isolée des dix villes. Le village est un petit amas d'habitation posé sur la berge du Redwaters qui est trop petit pour pouvoir entretenir une industrie locale - même pas la sculpture d'os de baleine. La glace a complètement pris le plus petit de ses deux quais, rendant le dock dangereux. Le quai le plus long est bordés de deux quillards, attachés au ponton, bien qu'ils soient totalement immobiles, bloqués par les glaces de l'hiver d'Auril. Les visiteurs arrivant à Trou de Dougan sont souvent frappés par l'étrange vision de formes humanoïdes sur la glace, silencieuses et complètement immobiles malgré le vent qui hurle tout autour d'eux.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A009,rumor_ten,Havre-Est Historique,"Pénétrer dans Havre-Est c'est faire un pas dans le passé de Valbise - l'endroit est un exemple vivant de l'essor du style de vie qui a saisi l'ensemble des Dix-Villages, il y a des siècles. Au cours des générations qui suivirent, alors que les autres villages ont stagnés dans leurs tendances respectives, Havre-Est a continué à grandir et à se réinventer. Après que la route de l'Est fut pavé, Havre-Est a évolué en un nouveau paradis du bout du monde pour les marchands, attisant la jalousie de ses voisines.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
A010,rumor_ten,Origines de Havre-Est,"Les fondateurs de Havre-Est étaient des voleurs du Duché de Cape Velen, situé sur une péninsule loin au sud. Ils refusèrent de se soumettre à une guilde des voleurs puissantes et furent chassés. A ce jour, Havre-Est rend honneur à ses fondateurs douteux en déclarant le vol à l'arrachée légale dans les limites de la cité.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
